m199,m99,m49,m19,m9,m5,m3,m1,p5
-122.143242375213,-69.2154331872913,-49.8100241787409,-4.86301743414475,8.09775725513723,12.2438962313887,3.1717175389799,-3.88314214554511,9.79754091903455
-125.173047125055,-66.7073484454176,-47.6090481062034,3.41248332346202,16.300231527182,11.3843171742915,1.44480140711094,1.27429689322828,5.42623137163403
-107.821760005244,-45.7430945111127,-35.0914086268769,12.330742466367,25.1279502291361,12.72237667892,6.36337318862349,8.70006936896094,-0.899065430770325
-86.8549311926606,-44.8891096002621,-23.3648017693316,12.8696346657929,22.2308117627785,15.6618610747051,15.5159526539974,6.27099033420708,-9.72466825032766
-96.1904663394654,-43.2231571652436,-21.8300863170198,11.8201047802769,25.104340675538,11.3406807097752,13.5531684914433,-1.01935797514442,-6.3664620365438
-112.003488070468,-44.6616516455193,-24.8293218683253,7.4502315261964,18.2500041393241,8.92327900700374,-1.04310968105127,-6.71563947038727,2.3875621588507
-114.060753258692,-47.7037356501211,-29.7717071177669,1.50436100124276,9.32578977533893,5.14694616419156,-10.8426351002434,-2.81918727052962,8.89791795529477
-106.386379545066,-38.1523758081496,-21.7198635308902,11.6908169958056,9.2028462297377,-0.907221949700442,-6.57212304266589,2.87268578483517,8.16224170906065
-121.235956967783,-44.5980049111624,-30.7650865124509,11.3529515178668,2.78110166559861,-10.7722320836145,-2.75388044211805,-2.89225499481095,6.49169469129431
-118.543803542726,-41.0904350803935,-30.9626781995835,13.1026749959955,8.85184510099587,-6.79933939805685,2.66560616856396,2.60374377923965,6.26025286251636
-117.834137401288,-53.7810958682586,-19.2631323612646,18.2502762579845,9.89893000565992,2.33188690941433,2.20036115677978,2.40843058512789,2.1701749184702
-111.665389966702,-42.9747630288534,-9.17660668782342,27.0952209733144,4.59716207836332,8.17087977655145,8.11251634957609,3.32775754164907,0.533087373176795
-101.84058458434,-38.599790055136,-4.89803405998715,30.1500188542718,0.465751470123628,7.54629488081043,7.74299079707708,2.21206469563091,-4.35941337736061
-104.706571519864,-54.1905421237618,-8.2341037384173,19.1048034934498,-2.96996485248695,6.09596336138034,1.20619874321013,-4.50633720311003,-2.1024603259133
-107.684750573082,-54.5324122444524,-6.87437948653973,24.724375068224,5.8176223223707,5.89143418528856,0.249504888736411,2.39160831890883,-5.33368679859237
-106.221872840177,-51.060192781509,-10.669459378182,21.8522641539298,7.02750328424985,2.12407869537461,-3.53538284592779,-1.49835655610131,-5.29436902833688
-96.4825527150588,-42.4851236756443,-1.82869938421347,17.1761937343203,5.95623146938691,0.530260620762581,2.66633492981693,1.75354025419336,-6.86436109556095
-105.948733796161,-40.6202880327354,-1.67566213962608,12.228337604629,6.04943336512385,-4.55812070095426,-2.50097236356274,-2.79028382359994,1.20413241194116
-107.704860960007,-38.6853213803908,-7.05535488924671,6.74692110187562,1.51497019017363,-2.14761303799121,-3.10555289612255,-2.09702336916315,4.72279037381958
-102.154074236767,-39.638150669888,-3.30221831759279,9.38886448495497,-1.8641555018669,-5.63419723259389,-5.93235229518998,-0.940039534372935,5.84504722161213
-93.715530400098,-33.6796541619779,-6.77526099406149,6.88277829153343,-6.90506166924783,-5.59034238409859,-4.55750782703642,-1.45621873363565,14.345481488084
-100.875440363756,-23.0135629254067,-9.98992659212716,-1.89112927911132,-9.21688993271409,-7.37028400331699,-2.31020530829637,9.73948274998469E-02,13.6976085395785
-85.3753941889053,-17.1295150752578,-5.09405255150121,-2.83289549190037,1.14084455137486,1.18980557734527,4.12062312118644,5.4046655119586,3.05822150389319
-81.3031779506945,-26.5497574202396,-0.675795007116365,-0.437890231359789,6.90858846629416E-02,4.50980188453828,6.75691118568001,1.3334095182688,4.06360056930923
-87.9749954607942,-24.742562187119,5.9466189401603,6.00523954037299,1.67250278836926,5.52226804658522,6.78753923170701,0.13021035976448,1.71659793012217
-76.2975196948216,-19.8599804147971,18.1202102729749,14.1461679747828,6.00856487233079,12.5457353464194,7.45894171696946,6.0860287347082,-8.72272322015815
-81.621005124992,-20.6414316692202,12.3954320510248,11.1898107130445,8.12852129049944,12.0474025052253,5.76573842471352,-0.471871282912293,-12.9191895953361
-88.3145344204009,-19.6234087333211,10.8543288583747,9.92204581213347,6.09125646212632,2.96746970718649,1.52792251578495,-4.36104129630765,-8.05441467949896
-84.3413847666682,-6.25995198091218,15.2468091266216,9.62877551326015,9.09317799507829,3.90492020944707,-2.45586187274444,2.28664699980533,-8.11332904056664
-83.3588339096464,-28.9502942766507,15.9750910370574,5.38521170578455,8.44987096708386,1.68762814039597,-4.191784734335,-2.17417913644848,-6.21704050511542
-94.5317128628845,-31.3050765133198,7.63638692735104,-2.42750316247938,4.09494376924843,-9.55629213303231,-4.48511633120366,-4.65484940193112,2.68850779010745
-109.08431703204,-27.4789207419899,9.24845418774592,-10.3102866779089,-6.77178189994379,-14.8358628442946,-12.6121416526138,-5.31365935919055,7.01742551995503
-106.824861519315,-26.7599686647517,10.825661568207,-4.32859785875803,-6.95875859080277,-8.75997977654189,-8.93665724016467,1.16062648272951,9.07944374378433
-102.150660299973,-25.5629254195119,7.54713906227081,-4.50774922181842,-4.71635077655189,-8.82971268395235,-1.77637261452715,2.22399678405936,3.00896878038711
-108.315568510583,-31.2626438406822,7.27741402188336,-3.07639598877554,-11.6230884688173,-6.62917926518893,3.25422548998281,-0.108220399817277,0.416566966130826
-97.9058163106191,-31.2069234367691,12.8385051198087,-0.277561203804767,-6.18691200166329,2.6181194448776,6.44576121420032,4.42122771453819,-3.73564114558969
-101.04735692075,-31.6313345659299,8.83162450626102,1.41661063954954,-2.82166568619212,6.55727372048071,3.30962685939995,-1.05365997142618,-5.96846373644844
-94.9712475360488,-25.8446195455634,18.3918993943901,6.36628958238893,-2.04043171990159,8.32369824429152,6.33980369885551,3.02906825717793,-12.8313918841141
-105.509909187752,-34.9352923184019,17.565472360802,3.95629199143559,-3.4025587748257,2.92107455885921,-1.45974623197731,-3.53809157165307,-10.2672685658837
-113.894936366098,-44.6233414568102,14.7982669916057,2.785810993772,-1.46385052802599,0.414838884375851,-3.10533441646358,-2.69266179258056,-9.74871378283239
-112.267079906913,-43.3929256005572,18.1125575719616,2.98159317073698,3.94324066024848,-3.88060668563685,-6.00854197826169,0.298591275519294,-9.51010512788669
-120.881349115467,-47.6435725417688,21.8499505644589,-6.10319459728188,-0.540718686634532,-6.34730003742577,-5.92165164980645,-3.45322615782506,-3.83474564436575
-130.919895523522,-59.5223765477185,19.9042883270324,-12.4898474339572,-7.56344258176101,-14.720198201462,-7.89475221895651,-4.60561298126084,2.32734794523749
-133.244785575335,-60.2352000846297,10.7244656279936,-13.2892161760298,-8.069796007123,-11.442055091594,-8.84498069384613,-0.579478469377568,1.52451029367687
-144.68133622164,-55.7675113562037,13.101188726005,-23.1672557291073,-15.4462373011539,-10.8017449849684,-7.42398694261592,-2.10262287802507,4.64509237979226
-144.602899934364,-57.0368160391431,11.6164448952802,-21.9004713885077,-13.6010501819918,-10.5095769437317,-2.11766811862283,0.561489349006509,4.51816934184616
-131.594019377774,-56.5167638653315,7.18476265712494,-13.7084969446316,-14.0424963405284,-3.98766235274984,1.16347963474988,2.65224563767745,2.00167290132206
