date,open,high,low,close
2023-05-25,13920.9,13986.9,13812.2,13938.5
2023-05-26,13990.6,14329.5,13982.2,14298.4
2023-05-30,14465.6,14520.2,14301.1,14355
2023-05-31,14293.6,14375.4,14216.2,14254.1
2023-06-01,14269.1,14493.3,14219.9,14441.5
2023-06-02,14517.1,14595.8,14442.2,14546.6
2023-06-05,14550.1,14662.9,14516.9,14556.5
2023-06-06,14526.1,14593.5,14477,14558.1
2023-06-07,14573.3,14647.9,14283.9,14303.3
2023-06-08,14319.2,14503.3,14314.7,14484.5
2023-06-09,14574.2,14672.9,14487.5,14528.4
2023-06-12,14617.4,14789.6,14571.4,14784.3
2023-06-13,14911.3,14931.8,14770.1,14900.9
2023-06-14,14894.1,15017.1,14784.6,15005.7
2023-06-15,14949.7,15246.6,14930.1,15185.5
2023-06-16,15272.7,15284.7,15073.4,15083.9
2023-06-20,15036.5,15127.4,14946.7,15070.1
2023-06-21,15019,15038.9,14826,14867.5
2023-06-22,14797.9,15044.2,14795,15042.3
2023-06-23,14879.2,14983.7,14821.8,14891.5
2023-06-26,14866.7,14982.8,14687,14689
2023-06-27,14751.6,14972.3,14726.7,14945.9
2023-06-28,14876.3,15051.1,14865.8,14964.6
2023-06-29,14965.5,14986.9,14876.9,14940
2023-06-30,15085.2,15213.8,15081.6,15179.2
2023-07-03,15190.5,15233,15153.6,15208.7
2023-07-05,15165.4,15275.2,15162.7,15203.8
2023-07-06,15054.1,15106.5,14969.1,15089.4
2023-07-07,15070.5,15210.6,15032.6,15036.9
2023-07-10,15031.9,15066.4,14924.6,15045.6
2023-07-11,15068.1,15135.3,14974.2,15119.1
2023-07-12,15279.4,15364.1,15209.7,15307.2
2023-07-13,15432.5,15602.7,15420.7,15572
2023-07-14,15610,15720.1,15531,15565.6
2023-07-17,15608.3,15745.7,15576.5,15713.3
2023-07-18,15608.3,15895.7,15607.7,15841.4
2023-07-19,15888.2,15932.1,15782,15826.4
2023-07-20,15717.7,15771.8,15429.9,15466.1
2023-07-21,15555,15600.5,15410.6,15425.7
2023-07-24,15475.2,15504.7,15374.7,15448
2023-07-25,15483.1,15622.7,15482,15561.4
2023-07-26,15514,15571.2,15411.9,15499.3
2023-07-27,15734,15795.5,15416,15464.9
2023-07-28,15630.2,15788.5,15617.7,15750.9
2023-07-31,15774.3,15803.6,15702.7,15757
2023-08-01,15697,15748.4,15636.6,15718
2023-08-02,15561.1,15561.4,15321.4,15370.7
2023-08-03,15287.8,15436.6,15270.7,15353.5
2023-08-04,15420.7,15523.3,15258.7,15274.9
2023-08-07,15355.6,15410.9,15258.9,15407.9
2023-08-08,15279.4,15295.8,15148.2,15273
2023-08-09,15287,15288.8,15077.9,15101.7
2023-08-10,15217.3,15366.3,15072.5,15128.8
2023-08-11,15010.5,15102.5,14973.7,15028.1
2023-08-14,14988.4,15206.3,14972,15205.6
2023-08-15,15172.1,15192.9,15014.4,15037.6
2023-08-16,15021.6,15077,14874,14876.5
2023-08-17,14943.3,14949.6,14698.3,14715.8
2023-08-18,14589.7,14744.6,14557.8,14694.8
2023-08-21,14762,14958.9,14739.4,14936.7
2023-08-22,15035.1,15037.8,14884,14909
2023-08-23,14947.6,15188.9,14947.6,15148.1
2023-08-24,15278.9,15279.2,14814.8,14816.4
2023-08-25,14858.9,15001.3,14715.4,14941.8
2023-08-28,15035.5,15086.2,14948.9,15052.5
2023-08-29,15043,15391.6,15034.5,15376.5
2023-08-30,15386.7,15484.8,15341.9,15462.4
2023-08-31,15475.4,15575,15466.4,15501.1
2023-09-01,15601,15618.9,15429.4,15490.9
2023-09-05,15460.5,15556.8,15420,15508.2
2023-09-06,15467.3,15487,15289.5,15371.4
2023-09-07,15174.2,15288.2,15138.7,15258.5
2023-09-08,15265.6,15374.2,15244.1,15280.2
2023-09-11,15409.8,15432.7,15328.3,15361.7
2023-09-12,15390.6,15447.8,15278.9,15289.7
2023-09-13,15293.3,15414.6,15256.6,15348.5
2023-09-14,15433,15512.8,15337.2,15473.9
2023-09-15,15425.9,15435.5,15173.7,15202.4
2023-09-18,15161.2,15269,15155.5,15225.4
2023-09-19,15152.5,15219.9,15069.4,15191.2
2023-09-20,15225.3,15245.2,14967.6,14969.9
2023-09-21,14813.5,14849.2,14691.7,14694.2
2023-09-22,14756.6,14855.9,14686.8,14701.1
2023-09-25,14662.7,14771.1,14615.4,14768.9
2023-09-26,14668.5,14678.5,14505.7,14545.8
2023-09-27,14600.1,14657.2,14432.6,14580.2
2023-09-28,14531,14787.6,14510.2,14702.8
2023-09-29,14853.3,14901.9,14664.8,14715.2
2023-10-02,14717.9,14892.2,14701.5,14837.6
2023-10-03,14744,14819.9,14504.1,14565.6
2023-10-04,14613.2,14803,14592.6,14776.3
2023-10-05,14769.6,14784.7,14584.4,14723.2
2023-10-06,14622.2,15021.4,14575.9,14973.2
2023-10-09,14871.6,15070.6,14816.3,15047.2
2023-10-10,15074,15241.9,15050.5,15131.5
2023-10-11,15194.5,15248.2,15119.6,15241.1
2023-10-12,15264.1,15334,15090.7,15184.1
2023-10-13,15225.7,15232.4,14943.4,14995.1
2023-10-16,15054.5,15209.5,15047.3,15172.7
2023-10-17,15009.3,15187.1,14932.8,15122
2023-10-18,15022.3,15103.9,14865.8,14909.3
2023-10-19,14981.1,15023.9,14749.3,14783.1
2023-10-20,14752.6,14781.2,14552.1,14560.9
2023-10-23,14514.1,14746.4,14419.1,14604.9
2023-10-24,14678.4,14774.2,14610.3,14745.9
2023-10-25,14642.1,14643.7,14362.2,14381.6
2023-10-26,14314,14372.5,14058.3,14109.6
2023-10-27,14245.7,14321,14130.4,14180.4
2023-10-30,14284,14388.2,14225.9,14335.5
2023-10-31,14340.9,14420.4,14232.4,14409.8
2023-11-01,14453.7,14677.9,14441.9,14664.9
2023-11-02,14856.9,14930.8,14792.8,14919.5
2023-11-03,14985.1,15149.8,14965.3,15099.5
2023-11-06,15137.2,15180.2,15064.9,15154.9
2023-11-07,15201.8,15335.4,15153.3,15296
2023-11-08,15313.9,15343.2,15220.9,15313.2
2023-11-09,15351.1,15382.1,15171.3,15187.9
2023-11-10,15252.4,15535.2,15237.2,15529.1
2023-11-13,15469.2,15524.7,15404.7,15482.8
2023-11-14,15744.4,15850.3,15726.1,15812.5
2023-11-15,15881.7,15904.6,15765.3,15817.2
2023-11-16,15765.2,15842.6,15738.2,15833.2
2023-11-17,15804,15876.9,15766.9,15838
2023-11-20,15845.2,16056.8,15844.8,16027.1
2023-11-21,15951.6,15968.1,15866.8,15933.6
2023-11-22,16025.7,16119.3,15964,16001.4
2023-11-24,15974.9,16007.4,15940.6,15982
2023-11-27,15969.7,16045.3,15932.2,15962
2023-11-28,15940.3,16031.5,15921.1,16010.4
2023-11-29,16111.4,16166.5,15976.7,15987.6
2023-11-30,15987.7,16013.5,15825.7,15947.9
2023-12-01,15892.6,16013.8,15834.9,15997.6
2023-12-04,15837.1,15852.4,15695.6,15839.7
2023-12-05,15763.7,15931.8,15760.6,15877.7
2023-12-06,15990.2,15990.9,15777,15788
2023-12-07,15888.2,16042.5,15875.5,16022.5
2023-12-08,15952.9,16100.9,15937.6,16084.7
2023-12-11,16069.6,16232.3,16061.9,16221.7
2023-12-12,16209.6,16354.2,16175.5,16354.2
2023-12-13,16392.2,16581,16357.2,16562.4
2023-12-14,16603.5,16660.7,16419.3,16537.8
2023-12-15,16587,16669.8,16557,16623.4
2023-12-18,16631.1,16764.3,16629.3,16729.8
2023-12-19,16734.3,16813,16733.4,16811.9
2023-12-20,16763.6,16860.7,16552.1,16554.2
2023-12-21,16719.6,16768,16621.5,16757.4
